time,src,srole,dst,drole,proto,op,tier,resp,mode,action
08-01T14:26:07,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T14:26:06,192.168.2.45,remediation,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T14:26:06,192.168.2.45,remediation,192.168.2.10,plc,TCP,,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T14:26:05,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T14:26:04,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T14:26:02,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:HIGH]
08-01T14:26:02,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T14:26:01,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T14:25:59,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T14:25:59,192.168.2.30,historian,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T14:25:59,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:HIGH]
08-01T14:25:59,192.168.3.66,historian,192.168.3.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:HIGH]
08-01T14:25:58,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T14:25:56,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:55,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:55,192.168.2.45,remediation,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:55,192.168.2.45,remediation,192.168.2.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:53,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:53,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:HIGH]
08-01T14:25:52,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:50,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:49,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 53 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:25:49,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:HIGH]
08-01T14:25:49,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:47,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:46,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 50 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:25:46,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:46,192.168.2.30,historian,192.168.2.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:46,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:HIGH]
08-01T14:25:44,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:43,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 52 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:25:43,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:41,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:40,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 49 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:25:40,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:40,192.168.2.45,remediation,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:39,192.168.2.45,remediation,192.168.2.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:39,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:HIGH]
08-01T14:25:38,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:37,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 50 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:25:37,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:36,192.168.2.30,historian,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:36,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:HIGH]
08-01T14:25:36,192.168.3.66,historian,192.168.3.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:HIGH]
08-01T14:25:35,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:34,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 52 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:25:34,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:32,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:31,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 51 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:25:31,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:30,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:HIGH]
08-01T14:25:29,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:28,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 50 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:25:28,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:26,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:HIGH]
08-01T14:25:26,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:25,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 49 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:25:25,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:24,192.168.2.45,remediation,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:24,192.168.2.45,remediation,192.168.2.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:23,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:23,192.168.2.30,historian,192.168.2.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:23,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:HIGH]
08-01T14:25:22,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 51 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:25:22,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:20,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:19,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 53 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:25:19,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:17,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:16,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 52 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:25:16,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:HIGH]
08-01T14:25:16,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:14,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:13,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 51 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:25:13,192.168.2.30,historian,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:13,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:HIGH]
08-01T14:25:13,192.168.3.66,historian,192.168.3.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:HIGH]
08-01T14:25:13,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:11,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:10,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 49 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:25:10,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:09,192.168.2.45,remediation,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:09,192.168.2.45,remediation,192.168.2.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:08,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:07,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 52 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:25:07,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:HIGH]
08-01T14:25:07,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:05,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:04,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 50 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:25:04,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:HIGH]
08-01T14:25:04,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:02,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:01,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 52 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:25:01,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:00,192.168.2.30,historian,192.168.2.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:25:00,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:HIGH]
08-01T14:24:59,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:58,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 51 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:24:58,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:56,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:55,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 47 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:24:55,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:53,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:HIGH]
08-01T14:24:53,192.168.2.45,remediation,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:53,192.168.2.45,remediation,192.168.2.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:53,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:52,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 52 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:24:51,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:50,192.168.2.30,historian,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:50,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:HIGH]
08-01T14:24:50,192.168.3.66,historian,192.168.3.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:HIGH]
08-01T14:24:50,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:49,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 52 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:24:48,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:47,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:46,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 52 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:24:45,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:44,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:HIGH]
08-01T14:24:44,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:43,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 51 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:24:42,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:41,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:40,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 49 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:24:40,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:HIGH]
08-01T14:24:39,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:38,192.168.2.45,remediation,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:38,192.168.2.45,remediation,192.168.2.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:38,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:37,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 51 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:24:36,192.168.2.30,historian,192.168.2.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:36,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:HIGH]
08-01T14:24:36,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:34,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:34,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 53 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:24:33,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:31,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:31,192.168.2.31,scada,192.168.2.10,plc,S7,CONTROL,FORBIDDEN,,ENFORCED,[FLOOD 52 ops/s] DEFENSE DISARMED - would ISOLATE (monitor only) [CRIT:CRITICAL]
08-01T14:24:30,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
08-01T14:24:30,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:HIGH]
08-01T14:24:28,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
