ts,label,atk,t0,t_enforce,mttm_ms,response,hard_timeout,leaked_frames
2026-08-16T00:51:41,unauth_control,192.168.2.66,1786837899.001956,1786837899.009634,7.68,ISOLATE_or_BLOCK,75,0
2026-08-16T00:53:03,modbus_illegal,192.168.2.31,1786837981.078070,1786837981.084303,6.23,ISOLATE_or_BLOCK,30,0
2026-08-16T00:53:09,modbus_scan,192.168.2.31,1786837987.658772,1786837987.670789,12.02,ISOLATE_or_BLOCK,30,0
2026-08-16T00:53:24,fdi_scada,192.168.2.31,1786838002.336737,1786838002.471733,135.00,ISOLATE_or_BLOCK,75,10
2026-08-16T00:54:46,modbus_illegal,192.168.2.31,1786838084.548082,1786838084.555286,7.20,ISOLATE_or_BLOCK,30,0
2026-08-16T00:54:53,modbus_scan,192.168.2.31,1786838091.102230,1786838091.115622,13.39,ISOLATE_or_BLOCK,30,0
2026-08-16T00:55:07,fdi_high,192.168.2.31,1786838105.809891,1786838105.923814,113.92,ISOLATE_or_BLOCK,75,11
2026-08-16T00:56:29,modbus_illegal,192.168.2.31,1786838188.013202,1786838188.021388,8.19,ISOLATE_or_BLOCK,30,0
2026-08-16T00:56:36,modbus_scan,192.168.2.31,1786838194.541916,1786838194.560427,18.51,ISOLATE_or_BLOCK,30,0
2026-08-16T00:56:51,recon_connect,192.168.2.66,1786838209.240022,1786838209.314801,74.78,ISOLATE_or_BLOCK,75,0
2026-08-16T00:59:01,modbus_illegal,192.168.2.31,1786838339.502300,1786838339.510494,8.19,ISOLATE_or_BLOCK,30,0
2026-08-16T00:59:08,modbus_scan,192.168.2.31,1786838346.082649,1786838346.122015,39.37,ISOLATE_or_BLOCK,30,0
2026-08-16T00:59:22,unauth_write,192.168.2.66,1786838360.799490,1786838360.805885,6.40,ISOLATE_or_BLOCK,75,0
2026-08-16T01:00:44,modbus_illegal,192.168.2.31,1786838442.870332,1786838442.879449,9.12,ISOLATE_or_BLOCK,30,0
2026-08-16T01:00:51,modbus_scan,192.168.2.31,1786838449.434082,1786838449.448313,14.23,ISOLATE_or_BLOCK,30,0
2026-08-16T01:01:06,unauth_control,192.168.2.66,1786838464.147725,1786838464.156376,8.65,ISOLATE_or_BLOCK,75,0
2026-08-16T01:02:28,modbus_illegal,192.168.2.31,1786838546.314851,1786838546.324028,9.18,ISOLATE_or_BLOCK,30,0
2026-08-16T01:02:34,modbus_scan,192.168.2.31,1786838552.901314,1786838552.912878,11.56,ISOLATE_or_BLOCK,30,0
2026-08-16T01:02:49,fdi_scada,192.168.2.31,1786838567.610361,1786838567.698692,88.33,ISOLATE_or_BLOCK,75,10
2026-08-16T01:04:11,modbus_illegal,192.168.2.31,1786838649.739425,1786838649.747241,7.82,ISOLATE_or_BLOCK,30,0
2026-08-16T01:04:18,modbus_scan,192.168.2.31,1786838656.290714,1786838656.298814,8.10,ISOLATE_or_BLOCK,30,0
2026-08-16T01:04:33,fdi_high,192.168.2.31,1786838670.971584,1786838671.076780,105.20,ISOLATE_or_BLOCK,75,11
2026-08-16T01:06:08,modbus_illegal,192.168.2.31,1786838766.084062,1786838766.115311,31.25,ISOLATE_or_BLOCK,30,0
2026-08-16T01:06:14,modbus_scan,192.168.2.31,1786838772.677074,1786838772.692143,15.07,ISOLATE_or_BLOCK,30,0
2026-08-16T01:06:29,recon_connect,192.168.2.66,1786838787.384958,1786838787.409702,24.74,ISOLATE_or_BLOCK,75,0
2026-08-16T01:07:51,modbus_illegal,192.168.2.31,1786838869.456706,1786838869.464905,8.20,ISOLATE_or_BLOCK,30,0
2026-08-16T01:07:58,modbus_scan,192.168.2.31,1786838876.043258,1786838876.059494,16.24,ISOLATE_or_BLOCK,30,0
2026-08-16T01:08:12,unauth_write,192.168.2.66,1786838890.754946,1786838890.762699,7.75,ISOLATE_or_BLOCK,75,0
2026-08-16T01:09:34,modbus_illegal,192.168.2.31,1786838972.891062,1786838972.899782,8.72,ISOLATE_or_BLOCK,30,0
2026-08-16T01:09:41,modbus_scan,192.168.2.31,1786838979.463663,1786838979.477859,14.20,ISOLATE_or_BLOCK,30,0
2026-08-16T01:09:56,unauth_control,192.168.2.66,1786838994.166700,1786838994.173249,6.55,ISOLATE_or_BLOCK,75,0
2026-08-16T01:11:18,modbus_illegal,192.168.2.31,1786839076.349388,1786839076.357954,8.57,ISOLATE_or_BLOCK,30,0
2026-08-16T01:11:24,modbus_scan,192.168.2.31,1786839082.910514,1786839082.925251,14.74,ISOLATE_or_BLOCK,30,0
2026-08-16T01:11:39,fdi_scada,192.168.2.31,1786839097.613310,1786839097.713979,100.67,ISOLATE_or_BLOCK,75,11
2026-08-16T01:13:14,modbus_illegal,192.168.2.31,1786839192.529585,1786839192.536564,6.98,ISOLATE_or_BLOCK,30,0
2026-08-16T01:13:21,modbus_scan,192.168.2.31,1786839199.116821,1786839199.128511,11.69,ISOLATE_or_BLOCK,30,0
2026-08-16T01:13:35,fdi_high,192.168.2.31,1786839213.803484,1786839213.920521,117.04,ISOLATE_or_BLOCK,75,10
2026-08-16T01:14:57,modbus_illegal,192.168.2.31,1786839295.964159,1786839295.970538,6.38,ISOLATE_or_BLOCK,30,0
2026-08-16T01:15:04,modbus_scan,192.168.2.31,1786839302.526234,1786839302.538038,11.80,ISOLATE_or_BLOCK,30,0
2026-08-16T01:15:19,recon_connect,192.168.2.66,1786839317.236411,1786839317.245173,8.76,ISOLATE_or_BLOCK,75,0
2026-08-16T01:17:16,modbus_illegal,192.168.2.31,1786839434.386618,1786839434.396465,9.85,ISOLATE_or_BLOCK,30,0
2026-08-16T01:17:22,modbus_scan,192.168.2.31,1786839440.974947,1786839440.987212,12.26,ISOLATE_or_BLOCK,30,0
2026-08-16T01:17:37,unauth_write,192.168.2.66,1786839455.676481,1786839455.683682,7.20,ISOLATE_or_BLOCK,75,0
2026-08-16T01:18:59,modbus_illegal,192.168.2.31,1786839537.753731,1786839537.760854,7.12,ISOLATE_or_BLOCK,30,0
2026-08-16T01:19:06,modbus_scan,192.168.2.31,1786839544.315733,1786839544.325013,9.28,ISOLATE_or_BLOCK,30,0
2026-08-16T01:19:21,unauth_control,192.168.2.66,1786839559.026924,1786839559.035414,8.49,ISOLATE_or_BLOCK,75,0
2026-08-16T01:21:36,modbus_illegal,192.168.2.31,1786839694.428928,1786839694.436683,7.76,ISOLATE_or_BLOCK,30,0
2026-08-16T01:21:43,modbus_scan,192.168.2.31,1786839701.024505,1786839701.037360,12.86,ISOLATE_or_BLOCK,30,0
2026-08-16T01:21:57,fdi_high,192.168.2.31,1786839715.742266,1786839715.913810,171.54,ISOLATE_or_BLOCK,75,10
2026-08-16T01:23:20,modbus_illegal,192.168.2.31,1786839798.092453,1786839798.116267,23.81,ISOLATE_or_BLOCK,30,0
2026-08-16T01:23:26,modbus_scan,192.168.2.31,1786839804.704131,1786839804.715074,10.94,ISOLATE_or_BLOCK,30,0
2026-08-16T01:23:41,recon_connect,192.168.2.66,1786839819.413458,1786839819.419825,6.37,ISOLATE_or_BLOCK,75,0
2026-08-16T01:25:03,modbus_illegal,192.168.2.31,1786839901.488403,1786839901.496163,7.76,ISOLATE_or_BLOCK,30,0
2026-08-16T01:25:10,modbus_scan,192.168.2.31,1786839908.069021,1786839908.081892,12.87,ISOLATE_or_BLOCK,30,0
2026-08-16T01:25:24,unauth_write,192.168.2.66,1786839922.773597,1786839922.782401,8.80,ISOLATE_or_BLOCK,75,0
2026-08-16T01:26:59,modbus_illegal,192.168.2.31,1786840017.579594,1786840017.588959,9.37,ISOLATE_or_BLOCK,30,0
2026-08-16T01:27:06,modbus_scan,192.168.2.31,1786840024.179777,1786840024.193029,13.25,ISOLATE_or_BLOCK,30,0
2026-08-16T01:27:20,unauth_control,192.168.2.66,1786840038.908532,1786840038.914415,5.88,ISOLATE_or_BLOCK,75,0
2026-08-16T01:28:42,modbus_illegal,192.168.2.31,1786840120.959057,1786840121.015286,56.23,ISOLATE_or_BLOCK,30,0
2026-08-16T01:28:49,modbus_scan,192.168.2.31,1786840127.591425,1786840127.598893,7.47,ISOLATE_or_BLOCK,30,0
2026-08-16T01:29:04,fdi_scada,192.168.2.31,1786840142.280494,1786840142.380569,100.08,ISOLATE_or_BLOCK,75,11
2026-08-16T01:30:26,modbus_illegal,192.168.2.31,1786840224.471914,1786840224.480407,8.49,ISOLATE_or_BLOCK,30,0
2026-08-16T01:30:32,modbus_scan,192.168.2.31,1786840231.018211,1786840231.027984,9.77,ISOLATE_or_BLOCK,30,0
2026-08-16T01:30:47,fdi_high,192.168.2.31,1786840245.735039,1786840245.838324,103.29,ISOLATE_or_BLOCK,75,11
2026-08-16T01:32:09,modbus_illegal,192.168.2.31,1786840327.888655,1786840327.913934,25.28,ISOLATE_or_BLOCK,30,0
2026-08-16T01:32:16,modbus_scan,192.168.2.31,1786840334.481400,1786840334.523570,42.17,ISOLATE_or_BLOCK,30,0
2026-08-16T01:32:31,recon_connect,192.168.2.66,1786840349.218018,1786840349.227017,9.00,ISOLATE_or_BLOCK,75,0
2026-08-16T01:34:41,modbus_illegal,192.168.2.31,1786840479.133625,1786840479.140719,7.09,ISOLATE_or_BLOCK,30,0
2026-08-16T01:34:47,modbus_scan,192.168.2.31,1786840485.714689,1786840485.726975,12.29,ISOLATE_or_BLOCK,30,0
2026-08-16T01:35:02,unauth_write,192.168.2.66,1786840500.415644,1786840500.422521,6.88,ISOLATE_or_BLOCK,75,0
2026-08-16T01:36:24,modbus_illegal,192.168.2.31,1786840582.489995,1786840582.497389,7.39,ISOLATE_or_BLOCK,30,0
2026-08-16T01:36:31,modbus_scan,192.168.2.31,1786840589.089438,1786840589.101223,11.79,ISOLATE_or_BLOCK,30,0
2026-08-16T01:36:45,unauth_control,192.168.2.66,1786840603.775377,1786840603.784033,8.66,ISOLATE_or_BLOCK,75,0
2026-08-16T01:38:07,modbus_illegal,192.168.2.31,1786840685.949865,1786840685.957154,7.29,ISOLATE_or_BLOCK,30,0
2026-08-16T01:38:14,modbus_scan,192.168.2.31,1786840692.523706,1786840692.532246,8.54,ISOLATE_or_BLOCK,30,0
2026-08-16T01:38:29,fdi_scada,192.168.2.31,1786840707.217824,1786840707.413274,195.45,ISOLATE_or_BLOCK,75,11
2026-08-16T01:39:51,modbus_illegal,192.168.2.31,1786840789.446933,1786840789.454542,7.61,ISOLATE_or_BLOCK,30,0
2026-08-16T01:39:58,modbus_scan,192.168.2.31,1786840796.033145,1786840796.048376,15.23,ISOLATE_or_BLOCK,30,0
2026-08-16T01:40:12,fdi_high,192.168.2.31,1786840810.758371,1786840810.918464,160.09,ISOLATE_or_BLOCK,75,11
