ts,label,atk,t0,t_enforce,mttm_ms,response,hard_timeout,leaked_frames
2026-08-16T02:21:22,unauth_write,192.168.2.66,1786843280.219722,1786843280.228460,8.74,ISOLATE_or_BLOCK,75,0
2026-08-16T02:22:57,modbus_illegal,192.168.2.31,1786843375.088356,1786843375.097536,9.18,ISOLATE_or_BLOCK,30,0
2026-08-16T02:23:03,modbus_scan,192.168.2.31,1786843381.662424,1786843381.676519,14.09,ISOLATE_or_BLOCK,30,0
2026-08-16T02:23:18,unauth_control,192.168.2.66,1786843396.362083,1786843396.369976,7.89,ISOLATE_or_BLOCK,75,0
2026-08-16T02:24:40,modbus_illegal,192.168.2.31,1786843478.430705,1786843478.515721,85.02,ISOLATE_or_BLOCK,30,0
2026-08-16T02:24:47,modbus_scan,192.168.2.31,1786843485.084002,1786843485.092016,8.01,ISOLATE_or_BLOCK,30,0
2026-08-16T02:25:01,fdi_scada,192.168.2.31,1786843499.785941,1786843499.887331,101.39,ISOLATE_or_BLOCK,75,11
2026-08-16T02:26:23,modbus_illegal,192.168.2.31,1786843582.034999,1786843582.044018,9.02,ISOLATE_or_BLOCK,30,0
2026-08-16T02:26:30,modbus_scan,192.168.2.31,1786843588.610326,1786843588.618842,8.52,ISOLATE_or_BLOCK,30,0
2026-08-16T02:26:45,fdi_high,192.168.2.31,1786843603.336861,1786843603.451292,114.43,ISOLATE_or_BLOCK,75,11
2026-08-16T02:28:07,modbus_illegal,192.168.2.31,1786843685.505029,1786843685.511556,6.53,ISOLATE_or_BLOCK,30,0
2026-08-16T02:28:14,modbus_scan,192.168.2.31,1786843692.076045,1786843692.116699,40.65,ISOLATE_or_BLOCK,30,0
2026-08-16T02:28:28,recon_connect,192.168.2.66,1786843706.813951,1786843706.821102,7.15,ISOLATE_or_BLOCK,75,0
2026-08-16T02:30:38,modbus_illegal,192.168.2.31,1786843836.836376,1786843836.842943,6.57,ISOLATE_or_BLOCK,30,0
2026-08-16T02:30:45,modbus_scan,192.168.2.31,1786843843.407902,1786843843.417820,9.92,ISOLATE_or_BLOCK,30,0
2026-08-16T02:31:00,unauth_write,192.168.2.66,1786843858.117885,1786843858.127083,9.20,ISOLATE_or_BLOCK,75,0
2026-08-16T02:32:22,modbus_illegal,192.168.2.31,1786843940.251630,1786843940.261098,9.47,ISOLATE_or_BLOCK,30,0
2026-08-16T02:32:28,modbus_scan,192.168.2.31,1786843946.819808,1786843946.833405,13.60,ISOLATE_or_BLOCK,30,0
2026-08-16T02:32:43,unauth_control,192.168.2.66,1786843961.526371,1786843961.535296,8.92,ISOLATE_or_BLOCK,75,0
2026-08-16T02:34:05,modbus_illegal,192.168.2.31,1786844043.591641,1786844043.599665,8.02,ISOLATE_or_BLOCK,30,0
2026-08-16T02:34:12,modbus_scan,192.168.2.31,1786844050.177905,1786844050.194232,16.33,ISOLATE_or_BLOCK,30,0
2026-08-16T02:34:27,fdi_scada,192.168.2.31,1786844064.915917,1786844065.025327,109.41,ISOLATE_or_BLOCK,75,10
2026-08-16T02:35:49,modbus_illegal,192.168.2.31,1786844147.076053,1786844147.115328,39.28,ISOLATE_or_BLOCK,30,0
2026-08-16T02:35:55,modbus_scan,192.168.2.31,1786844153.688709,1786844153.700463,11.75,ISOLATE_or_BLOCK,30,0
2026-08-16T02:36:10,fdi_high,192.168.2.31,1786844168.382112,1786844168.516050,133.94,ISOLATE_or_BLOCK,75,11
2026-08-16T02:37:45,modbus_illegal,192.168.2.31,1786844263.383760,1786844263.394520,10.76,ISOLATE_or_BLOCK,30,0
2026-08-16T02:37:51,modbus_scan,192.168.2.31,1786844269.968990,1786844269.976405,7.41,ISOLATE_or_BLOCK,30,0
2026-08-16T02:38:06,recon_connect,192.168.2.66,1786844284.685071,1786844284.693505,8.43,ISOLATE_or_BLOCK,75,0
2026-08-16T02:39:28,modbus_illegal,192.168.2.31,1786844366.837836,1786844366.845827,7.99,ISOLATE_or_BLOCK,30,0
2026-08-16T02:39:35,modbus_scan,192.168.2.31,1786844373.403406,1786844373.412243,8.84,ISOLATE_or_BLOCK,30,0
2026-08-16T02:39:50,unauth_write,192.168.2.66,1786844388.095489,1786844388.118432,22.94,ISOLATE_or_BLOCK,75,0
2026-08-16T02:41:12,modbus_illegal,192.168.2.31,1786844470.176113,1786844470.183923,7.81,ISOLATE_or_BLOCK,30,0
2026-08-16T02:41:18,modbus_scan,192.168.2.31,1786844476.739131,1786844476.757017,17.89,ISOLATE_or_BLOCK,30,0
2026-08-16T02:41:33,unauth_control,192.168.2.66,1786844491.475029,1786844491.482877,7.85,ISOLATE_or_BLOCK,75,0
2026-08-16T02:42:55,modbus_illegal,192.168.2.31,1786844573.532774,1786844573.541415,8.64,ISOLATE_or_BLOCK,30,0
2026-08-16T02:43:02,modbus_scan,192.168.2.31,1786844580.117976,1786844580.126771,8.80,ISOLATE_or_BLOCK,30,0
2026-08-16T02:43:16,fdi_scada,192.168.2.31,1786844594.827210,1786844594.924067,96.86,ISOLATE_or_BLOCK,75,11
2026-08-16T02:44:51,modbus_illegal,192.168.2.31,1786844689.841082,1786844689.914685,73.60,ISOLATE_or_BLOCK,30,0
