ts,detail,cycle,level
2026-08-15T23:33:07,FACTORYIO_FREEZE,1,66.7
2026-08-15T23:46:03,FACTORYIO_FREEZE,9,47.5
2026-08-15T23:46:43,FACTORYIO_FREEZE,10,47.5
