ts,dst,crit,response,hard_timeout_installed,cars_ms
2026-08-15T23:37:58,192.168.2.10,CRITICAL,ISOLATE,75,0.629
2026-08-15T23:38:00,192.168.3.10,HIGH,ISOLATE,60,0.605
2026-08-15T23:38:02,192.168.2.30,MEDIUM,ISOLATE,45,0.368
2026-08-15T23:38:03,192.168.2.20,LOW,ISOLATE,30,0.719
2026-08-15T23:44:57,192.168.2.10,CRITICAL,ISOLATE,75,0.182
2026-08-15T23:44:58,192.168.3.10,HIGH,ISOLATE,60,0.684
2026-08-15T23:45:00,192.168.2.30,MEDIUM,ISOLATE,45,0.595
2026-08-15T23:45:01,192.168.2.20,LOW,ISOLATE,30,0.55
