ts,response_tested,src,dst,verdict,rule
2026-08-15T23:37:58,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-15T23:37:58,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-15T23:37:58,THROTTLE,192.168.2.31,192.168.2.20,BLOCK SENSITIVE,none
2026-08-15T23:37:58,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-15T23:44:56,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-15T23:44:56,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-15T23:44:56,THROTTLE,192.168.2.31,192.168.2.20,BLOCK SENSITIVE,none
2026-08-15T23:44:56,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
