tier,dst,reported_tier,response,priority,hard_timeout,actions
CRITICAL,192.168.2.10,FORBIDDEN ISOLATE,110,75,drop
HIGH,192.168.3.10,FORBIDDEN ISOLATE,110,60,drop
MEDIUM,192.168.2.30,FORBIDDEN ISOLATE,110,45,drop
LOW,192.168.2.20,FORBIDDEN ISOLATE,110,30,drop
