trial,t_enforce,flow_dur,hard_to
1,1786585511.878620,0.015,75
2,1786585517.495510,0.028,75
3,1786585523.133403,0.030,75
4,1786585528.764322,0.029,75
5,1786585534.403463,0.027,75
