ts,alert_rate_s,cars_ms_avg,probe_mttm_ms,probe_resp
2026-08-15T21:40:35,157.8,0.173,88.38,ISOLATE_or_BLOCK
2026-08-15T21:40:56,708.6,0.178,108.46,ISOLATE_or_BLOCK
