ts,label,atk,t0,t_enforce,mttm_ms,response,hard_timeout,leaked_frames
2026-08-15T21:37:13,fdi_high,192.168.2.31,1786826231.116664,1786826231.200943,84.28,ISOLATE_or_BLOCK,75,6
2026-08-15T21:37:19,modbus_scan,192.168.2.31,1786826237.781254,1786826237.792907,11.65,ISOLATE_or_BLOCK,30,0
2026-08-15T21:38:21,recon_connect,192.168.2.66,1786826298.860189,1786826298.866719,6.53,ISOLATE_or_BLOCK,75,0
2026-08-15T21:38:27,unauth_write,192.168.2.66,1786826305.500108,1786826305.509242,9.13,ISOLATE_or_BLOCK,75,0
2026-08-15T21:38:34,unauth_control,192.168.2.66,1786826312.139752,1786826312.147749,8.00,ISOLATE_or_BLOCK,75,0
2026-08-15T21:38:40,modbus_illegal,192.168.2.31,1786826318.742178,1786826318.749690,7.51,ISOLATE_or_BLOCK,30,0
2026-08-15T21:38:47,fdi_scada,192.168.2.31,1786826325.362725,1786826325.466733,104.01,ISOLATE_or_BLOCK,75,7
2026-08-15T21:38:54,fdi_high,192.168.2.31,1786826332.115716,1786826332.210083,94.37,ISOLATE_or_BLOCK,75,6
2026-08-15T21:39:00,modbus_scan,192.168.2.31,1786826338.766014,1786826338.774450,8.44,ISOLATE_or_BLOCK,30,0
2026-08-15T21:40:35,ddos_probe,192.168.2.31,1786826368.637951,1786826368.726326,88.38,ISOLATE_or_BLOCK,75,6
2026-08-15T21:40:56,ddos_probe,192.168.2.31,1786826453.999770,1786826454.108234,108.46,ISOLATE_or_BLOCK,75,6
2026-08-15T21:47:44,recon_connect,192.168.2.66,1786826862.356629,1786826862.405842,49.21,ISOLATE_or_BLOCK,75,0
2026-08-15T21:47:51,unauth_write,192.168.2.66,1786826869.022839,1786826869.029947,7.11,ISOLATE_or_BLOCK,75,0
2026-08-15T21:47:57,unauth_control,192.168.2.66,1786826875.661092,1786826875.667543,6.45,ISOLATE_or_BLOCK,75,0
2026-08-15T21:48:04,modbus_illegal,192.168.2.31,1786826882.268746,1786826882.275062,6.32,ISOLATE_or_BLOCK,30,0
2026-08-15T21:48:11,fdi_scada,192.168.2.31,1786826888.869785,1786826888.959358,89.57,ISOLATE_or_BLOCK,75,7
2026-08-15T21:48:17,fdi_high,192.168.2.31,1786826895.578716,1786826895.714847,136.13,ISOLATE_or_BLOCK,75,6
2026-08-15T21:48:24,modbus_scan,192.168.2.31,1786826902.314762,1786826902.328807,14.05,ISOLATE_or_BLOCK,30,0
2026-08-15T21:49:25,recon_connect,192.168.2.66,1786826963.306827,1786826963.313689,6.86,ISOLATE_or_BLOCK,75,0
2026-08-15T21:49:32,unauth_write,192.168.2.66,1786826969.955496,1786826969.962221,6.72,ISOLATE_or_BLOCK,75,0
2026-08-15T21:49:38,unauth_control,192.168.2.66,1786826976.590524,1786826976.598571,8.05,ISOLATE_or_BLOCK,75,0
2026-08-15T21:49:45,unauth_stop,192.168.2.66,1786826983.240055,1786826983.311062,71.01,ISOLATE_or_BLOCK,75,0
2026-08-15T21:50:00,modbus_illegal,192.168.2.31,1786826997.973808,1786826997.982637,8.83,ISOLATE_or_BLOCK,30,0
2026-08-15T21:50:06,fdi_scada,192.168.2.31,1786827004.579551,1786827004.669132,89.58,ISOLATE_or_BLOCK,75,7
2026-08-15T21:50:13,fdi_high,192.168.2.31,1786827011.310245,1786827011.386944,76.70,ISOLATE_or_BLOCK,75,6
2026-08-15T21:50:20,modbus_scan,192.168.2.31,1786827017.973484,1786827017.984859,11.37,ISOLATE_or_BLOCK,30,0
2026-08-15T21:51:33,recon_connect,192.168.2.66,1786827091.645477,1786827091.652138,6.66,ISOLATE_or_BLOCK,75,0
2026-08-15T21:51:40,unauth_write,192.168.2.66,1786827098.291153,1786827098.298905,7.75,ISOLATE_or_BLOCK,75,0
2026-08-15T21:51:47,unauth_control,192.168.2.66,1786827104.952388,1786827104.960557,8.17,ISOLATE_or_BLOCK,75,0
