ts,detail,cycle,level
2026-08-15T21:31:41,FACTORYIO_FREEZE,5,44.0
2026-08-15T21:32:22,FACTORYIO_FREEZE,6,44.0
2026-08-15T22:04:00,FACTORYIO_FREEZE,19,66.9
