### ovsgw table=0
 cookie=0xa2, duration=20414.041s, table=1, n_packets=0, n_bytes=0, priority=80,ct_state=+new+trk,tcp,nw_src=192.168.2.55,nw_dst=192.168.2.9,tp_dst=102 actions=ct(commit),goto_table:2
 cookie=0xa2, duration=20414.041s, table=1, n_packets=0, n_bytes=0, priority=55,ct_state=+new+trk,ip,nw_dst=192.168.2.20 actions=drop
 cookie=0xa2, duration=20414.041s, table=1, n_packets=22347, n_bytes=4339197, priority=10,ct_state=+new+trk,ip actions=ct(commit),goto_table:2
 cookie=0x0, duration=20414.044s, table=1, n_packets=50929, n_bytes=6773958, priority=0 actions=goto_table:2
### ovsgw table=2
 cookie=0x0, duration=20414.064s, table=2, n_packets=2741, n_bytes=170193, priority=2,dl_dst=ff:ff:ff:ff:ff:ff actions=FLOOD
 cookie=0x0, duration=20413.048s, table=2, n_packets=129083, n_bytes=8977050, priority=1,in_port=rem0ovs,dl_src=92:b7:80:63:54:56,dl_dst=e0:dc:a0:63:98:09 actions=output:"patch-gw-ovs1"
 cookie=0x0, duration=20413.035s, table=2, n_packets=71400, n_bytes=5722528, priority=1,in_port="patch-gw-ovs1",dl_src=e0:dc:a0:63:98:09,dl_dst=92:b7:80:63:54:56 actions=output:rem0ovs
 cookie=0x0, duration=20411.696s, table=2, n_packets=19816, n_bytes=1477456, priority=1,in_port=ins2,dl_src=ba:f2:0f:34:89:a4,dl_dst=b4:e9:b8:a4:ce:5f actions=output:eth0
 cookie=0x0, duration=20411.694s, table=2, n_packets=19604, n_bytes=1468552, priority=1,in_port=sup0,dl_src=de:5a:28:ae:96:03,dl_dst=e0:dc:a0:63:98:09 actions=output:"patch-gw-ovs1"
 cookie=0x0, duration=20411.687s, table=2, n_packets=10780, n_bytes=919046, priority=1,in_port="patch-gw-ovs1",dl_src=e0:dc:a0:63:98:09,dl_dst=de:5a:28:ae:96:03 actions=output:sup0
 cookie=0x0, duration=20411.680s, table=2, n_packets=10768, n_bytes=921668, priority=1,in_port=eth0,dl_src=b4:e9:b8:a4:ce:5f,dl_dst=ba:f2:0f:34:89:a4 actions=output:ins2
 cookie=0x0, duration=20304.955s, table=2, n_packets=2026, n_bytes=121624, priority=1,in_port="patch-gw-ovs1",dl_src=e0:dc:a0:62:b7:4c,dl_dst=b4:e9:b8:a4:ce:46 actions=output:enx00e04c680018
 cookie=0x0, duration=20304.911s, table=2, n_packets=0, n_bytes=0, priority=1,in_port=enx00e04c680018,dl_src=b4:e9:b8:a4:ce:46,dl_dst=e0:dc:a0:62:b7:4c actions=output:"patch-gw-ovs1"
 cookie=0x0, duration=20303.862s, table=2, n_packets=1488511, n_bytes=117814329, priority=1,in_port="patch-gw-ovs1",dl_src=e0:dc:a0:63:98:09,dl_dst=b4:e9:b8:a4:ce:46 actions=output:enx00e04c680018
 cookie=0x0, duration=20303.859s, table=2, n_packets=2604793, n_bytes=196607589, priority=1,in_port=enx00e04c680018,dl_src=b4:e9:b8:a4:ce:46,dl_dst=e0:dc:a0:63:98:09 actions=output:"patch-gw-ovs1"
 cookie=0x0, duration=20414.064s, table=2, n_packets=67082, n_bytes=10751672, priority=0 actions=CONTROLLER:65535
