ts,phase,level,online,restores,est_npkts
1786576161,disarmed,71.1,1,37,2167858
1786576162,disarmed,67.0,1,37,
1786576163,disarmed,63.6,1,37,
1786576164,disarmed,58.5,1,37,
1786576165,disarmed,55.6,1,37,
1786576166,disarmed,51.6,1,37,
1786576167,disarmed,48.4,1,37,
1786576168,disarmed,45.2,1,37,
1786576169,disarmed,40.9,1,37,
1786576170,disarmed,38.0,1,37,
1786576171,disarmed,35.1,1,37,
1786576172,disarmed,32.2,1,37,
1786576173,disarmed,29.8,1,37,
1786576174,disarmed,26.4,1,37,
1786576175,disarmed,29.1,1,37,
1786576176,disarmed,30.4,1,37,2171105
1786576177,disarmed,32.4,1,37,
1786576178,disarmed,34.5,1,37,
1786576179,disarmed,37.0,1,37,
1786576180,disarmed,38.8,1,37,
1786576181,disarmed,40.6,1,37,
1786576182,disarmed,42.2,1,37,
1786576183,disarmed,44.3,1,37,
1786576184,disarmed,45.9,1,37,
1786576185,disarmed,47.4,1,37,
1786576186,disarmed,48.9,1,37,
1786576187,disarmed,50.2,1,37,
1786576188,disarmed,51.6,1,37,
1786576189,disarmed,53.4,1,37,
1786576190,disarmed,54.5,1,37,
1786576191,disarmed,55.8,1,37,2174437
1786576192,disarmed,56.9,1,37,
1786576193,disarmed,58.1,1,37,
1786576194,disarmed,59.6,1,37,
1786576195,disarmed,60.5,1,37,
1786576196,disarmed,61.6,1,37,
1786576197,disarmed,62.5,1,37,
1786576198,disarmed,63.5,1,37,
1786576199,disarmed,64.7,1,37,
1786576200,disarmed,65.7,1,37,
1786576201,disarmed,66.6,1,37,
1786576202,disarmed,67.4,1,37,
1786576203,disarmed,68.2,1,37,
1786576204,disarmed,69.3,1,37,
1786576205,disarmed,70.0,1,37,
1786576206,disarmed,70.8,1,37,2177675
1786576207,disarmed,67.6,1,37,
1786576208,disarmed,63.6,1,37,
1786576209,disarmed,60.0,1,37,
1786576211,disarmed,56.2,1,37,
1786576212,disarmed,52.9,1,37,
1786576213,disarmed,49.4,1,37,
1786576214,disarmed,45.0,1,37,
1786576215,disarmed,42.1,1,37,
1786576216,disarmed,38.8,1,37,
1786576217,disarmed,35.9,1,37,
1786576218,disarmed,33.2,1,37,
