ts,rel,level,legit_pps,ca,event
1786644950,204,58.9,16,1,
1786644951,205,58.9,13,1,
1786644952,206,58.9,18,1,
1786644953,207,58.9,10,1,
1786644954,208,58.9,11,1,
1786644955,209,58.9,12,1,
1786644956,210,58.9,15,1,
1786644957,211,58.9,10,1,
1786644958,212,58.9,9,1,
1786644959,213,58.9,9,1,
1786644960,214,58.9,149,0,
1786644961,215,58.9,452,0,
1786644962,216,58.9,297,0,
1786644963,217,58.9,223,0,
1786644964,218,58.9,447,0,
1786644965,219,58.9,306,0,
1786644967,220,58.9,307,0,
1786644968,222,58.9,327,0,
1786644969,223,58.9,324,0,
1786644970,224,58.9,294,0,
1786644971,225,58.9,298,0,
1786644972,226,58.9,226,1,
1786644973,227,58.9,9,1,
1786644974,228,58.9,17,1,
1786644975,229,58.9,9,1,
1786644976,230,58.9,10,1,
1786644977,231,58.9,9,1,
1786644978,232,58.9,12,1,
1786644979,233,58.9,9,1,
1786644980,234,58.9,12,1,
1786644981,235,58.9,15,1,
1786644982,236,58.9,12,1,
1786644983,237,58.9,10,1,
1786644984,238,58.9,9,1,
1786644985,239,58.9,15,1,
