ts,cycle,mode,src,dst,dst_tier,op,rate,decided_tier,response,hard_timeout
1786641766,4,simultaneous,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641768,5,alternating,192.168.2.66,192.168.2.10,CRITICAL,READ,0,FORBIDDEN,ISOLATE,75
1786641769,5,alternating,192.168.2.66,192.168.3.10,HIGH,WRITE,0,FORBIDDEN,ISOLATE,60
1786641770,5,alternating,192.168.2.66,192.168.2.30,MEDIUM,WRITE,12,FORBIDDEN,ISOLATE,45
1786641770,5,alternating,192.168.2.66,192.168.2.20,LOW,CONTROL,0,FORBIDDEN,ISOLATE,30
1786641771,5,alternating,192.168.2.31,192.168.2.10,CRITICAL,DIAG,0,FORBIDDEN,ISOLATE,75
1786641772,5,alternating,192.168.2.31,192.168.3.10,HIGH,DIAG,0,FORBIDDEN,ISOLATE,60
1786641773,5,alternating,192.168.2.31,192.168.2.30,MEDIUM,DIAG,0,FORBIDDEN,ISOLATE,45
1786641773,5,alternating,192.168.2.31,192.168.2.20,LOW,READ,0,OPERATIONAL,ALLOW,
1786641774,5,simultaneous,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641774,5,simultaneous,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641774,5,simultaneous,192.168.2.66,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641774,5,simultaneous,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641776,6,alternating,192.168.2.66,192.168.2.10,CRITICAL,READ,0,FORBIDDEN,ISOLATE,75
1786641777,6,alternating,192.168.2.66,192.168.3.10,HIGH,WRITE,12,FORBIDDEN,ISOLATE,60
1786641778,6,alternating,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,0,FORBIDDEN,ISOLATE,45
1786641778,6,alternating,192.168.2.66,192.168.2.20,LOW,WRITE,12,FORBIDDEN,ISOLATE,30
1786641779,6,alternating,192.168.2.31,192.168.2.10,CRITICAL,DIAG,12,FORBIDDEN,ISOLATE,75
1786641780,6,alternating,192.168.2.31,192.168.3.10,HIGH,READ,0,OPERATIONAL,ALLOW,
1786641781,6,alternating,192.168.2.31,192.168.2.30,MEDIUM,DIAG,12,FORBIDDEN,ISOLATE,45
1786641781,6,alternating,192.168.2.31,192.168.2.20,LOW,CONTROL,0,FORBIDDEN,ISOLATE,30
1786641782,6,simultaneous,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641782,6,simultaneous,192.168.2.66,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641782,6,simultaneous,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641782,6,simultaneous,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641784,7,alternating,192.168.2.66,192.168.2.10,CRITICAL,DIAG,0,FORBIDDEN,ISOLATE,75
1786641785,7,alternating,192.168.2.66,192.168.3.10,HIGH,DIAG,0,FORBIDDEN,ISOLATE,60
1786641786,7,alternating,192.168.2.66,192.168.2.30,MEDIUM,DIAG,0,FORBIDDEN,ISOLATE,45
1786641786,7,alternating,192.168.2.66,192.168.2.20,LOW,READ,0,FORBIDDEN,ISOLATE,30
1786641787,7,alternating,192.168.2.31,192.168.2.10,CRITICAL,WRITE,12,FORBIDDEN,ISOLATE,75
1786641788,7,alternating,192.168.2.31,192.168.3.10,HIGH,DIAG,12,FORBIDDEN,ISOLATE,60
1786641789,7,alternating,192.168.2.31,192.168.2.30,MEDIUM,WRITE,0,FORBIDDEN,ISOLATE,45
1786641789,7,alternating,192.168.2.31,192.168.2.20,LOW,DIAG,0,FORBIDDEN,ISOLATE,30
1786641790,7,simultaneous,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641790,7,simultaneous,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641790,7,simultaneous,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641790,7,simultaneous,192.168.2.66,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641792,8,alternating,192.168.2.66,192.168.2.10,CRITICAL,READ,0,FORBIDDEN,ISOLATE,75
1786641793,8,alternating,192.168.2.66,192.168.3.10,HIGH,READ,0,FORBIDDEN,ISOLATE,60
1786641794,8,alternating,192.168.2.66,192.168.2.30,MEDIUM,DIAG,0,FORBIDDEN,ISOLATE,45
1786641794,8,alternating,192.168.2.66,192.168.2.20,LOW,READ,12,FORBIDDEN,ISOLATE,30
1786641795,8,alternating,192.168.2.31,192.168.2.10,CRITICAL,WRITE,0,FORBIDDEN,ISOLATE,75
1786641796,8,alternating,192.168.2.31,192.168.3.10,HIGH,WRITE,0,SENSITIVE,BLOCK,60
1786641797,8,alternating,192.168.2.31,192.168.2.30,MEDIUM,WRITE,12,FORBIDDEN,ISOLATE,45
1786641797,8,alternating,192.168.2.31,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,30
1786641798,8,simultaneous,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641798,8,simultaneous,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641798,8,simultaneous,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641798,8,simultaneous,192.168.2.66,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641800,9,alternating,192.168.2.66,192.168.2.10,CRITICAL,READ,0,FORBIDDEN,ISOLATE,75
1786641801,9,alternating,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,60
1786641802,9,alternating,192.168.2.66,192.168.2.30,MEDIUM,READ,12,FORBIDDEN,ISOLATE,45
1786641802,9,alternating,192.168.2.66,192.168.2.20,LOW,READ,12,FORBIDDEN,ISOLATE,30
1786641803,9,alternating,192.168.2.31,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641804,9,alternating,192.168.2.31,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,60
1786641805,9,alternating,192.168.2.31,192.168.2.30,MEDIUM,CONTROL,0,FORBIDDEN,ISOLATE,45
1786641805,9,alternating,192.168.2.31,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,30
1786641806,9,simultaneous,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641806,9,simultaneous,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641806,9,simultaneous,192.168.2.66,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641806,9,simultaneous,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641808,10,alternating,192.168.2.66,192.168.2.10,CRITICAL,READ,12,FORBIDDEN,ISOLATE,75
1786641809,10,alternating,192.168.2.66,192.168.3.10,HIGH,READ,0,FORBIDDEN,ISOLATE,60
1786641810,10,alternating,192.168.2.66,192.168.2.30,MEDIUM,READ,0,FORBIDDEN,ISOLATE,45
1786641811,10,alternating,192.168.2.66,192.168.2.20,LOW,WRITE,12,FORBIDDEN,ISOLATE,30
1786641811,10,alternating,192.168.2.31,192.168.2.10,CRITICAL,DIAG,0,FORBIDDEN,ISOLATE,75
1786641812,10,alternating,192.168.2.31,192.168.3.10,HIGH,DIAG,0,FORBIDDEN,ISOLATE,60
1786641813,10,alternating,192.168.2.31,192.168.2.30,MEDIUM,WRITE,0,FORBIDDEN,ISOLATE,45
1786641814,10,alternating,192.168.2.31,192.168.2.20,LOW,DIAG,12,FORBIDDEN,ISOLATE,30
1786641814,10,simultaneous,192.168.2.66,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641814,10,simultaneous,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641814,10,simultaneous,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641814,10,simultaneous,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641816,11,alternating,192.168.2.66,192.168.2.10,CRITICAL,WRITE,12,FORBIDDEN,ISOLATE,75
1786641817,11,alternating,192.168.2.66,192.168.3.10,HIGH,CONTROL,0,FORBIDDEN,ISOLATE,60
1786641818,11,alternating,192.168.2.66,192.168.2.30,MEDIUM,DIAG,12,FORBIDDEN,ISOLATE,45
1786641819,11,alternating,192.168.2.66,192.168.2.20,LOW,DIAG,0,FORBIDDEN,ISOLATE,30
1786641819,11,alternating,192.168.2.31,192.168.2.10,CRITICAL,DIAG,12,FORBIDDEN,ISOLATE,75
