trial,t_enforce,flow_dur,hard_to
1,1786647297.289497,0.008,75
2,1786647303.314357,0.002,75
3,1786647309.403523,0.018,75
4,1786647315.402699,0.005,75
5,1786647321.404635,0.020,75
