trial,t_enforce,flow_dur,hard_to
1,1786646923.623327,1.115,75
2,1786646929.634754,1.102,75
3,1786646935.671579,1.060,75
4,1786646941.682169,1.032,75
5,1786646947.702096,1.003,75
