ts,level,online,restores
1786566263.130,42.3,1,27
1786566264.150,39.5,1,27
1786566265.170,36.5,1,27
1786566266.193,32.8,1,27
1786566267.211,30.1,1,27
1786566268.237,27.6,1,27
1786566269.256,28.6,1,27
1786566270.279,29.5,1,27
1786566271.301,32.1,1,27
1786566272.322,34.4,1,27
1786566273.344,36.4,1,27
1786566274.364,38.3,1,27
1786566275.387,39.8,1,27
1786566276.411,42.1,1,27
1786566277.433,43.8,1,27
1786566278.459,45.4,1,27
1786566279.482,46.9,1,27
1786566280.505,48.9,1,27
1786566281.524,50.2,1,27
1786566282.547,51.6,1,27
1786566283.570,52.8,1,27
1786566284.592,54.6,1,27
1786566285.615,55.7,1,27
1786566286.636,56.9,1,27
1786566287.654,58.1,1,27
1786566288.673,59.1,1,27
1786566289.697,60.6,1,27
1786566290.722,61.5,1,27
1786566291.746,62.5,1,27
1786566292.765,63.4,1,27
1786566293.792,64.4,1,27
1786566294.815,65.6,1,27
1786566295.835,66.5,1,27
1786566296.854,67.3,1,27
1786566297.876,68.1,1,27
1786566298.894,69.2,1,27
1786566299.913,70.0,1,27
1786566300.933,70.7,1,27
1786566301.953,69.7,1,27
1786566302.974,64.5,1,27
1786566303.996,60.5,1,27
1786566305.018,57.0,1,27
1786566306.037,53.1,1,27
1786566307.057,50.1,1,27
1786566308.077,45.5,1,27
1786566309.098,42.3,1,27
1786566310.119,39.5,1,27
1786566311.139,36.4,1,27
1786566312.158,33.8,1,27
1786566313.180,30.1,1,27
1786566314.200,27.6,1,27
1786566315.227,26.2,1,27
1786566316.246,29.2,1,27
1786566317.267,31.8,1,27
1786566318.287,34.2,1,27
1786566319.309,36.4,1,27
1786566320.325,38.0,1,27
1786566321.346,39.8,1,27
1786566322.367,42.0,1,27
1786566323.388,43.7,1,27
1786566324.409,45.1,1,27
1786566325.429,46.7,1,27
1786566326.452,48.1,1,27
1786566327.478,50.0,1,27
1786566328.503,51.4,1,27
1786566329.522,52.6,1,27
1786566330.544,53.9,1,27
1786566331.570,55.1,1,27
1786566332.591,56.7,1,27
1786566333.615,57.9,1,27
1786566334.639,59.0,1,27
1786566335.662,60.1,1,27
1786566336.686,61.4,1,27
1786566337.710,62.4,1,27
1786566338.730,63.3,1,27
1786566339.750,64.3,1,27
1786566340.775,65.3,1,27
1786566341.797,66.5,1,27
1786566342.822,67.3,1,27
1786566343.840,68.1,1,27
1786566344.861,68.9,1,27
1786566345.881,69.7,1,27
1786566346.907,70.6,1,27
1786566347.926,71.0,1,27
1786566348.946,65.9,1,27
1786566349.969,62.2,1,27
1786566350.992,58.0,1,27
1786566352.014,53.6,1,27
1786566353.037,50.2,1,27
1786566354.060,46.9,1,27
1786566355.079,43.7,1,27
1786566356.099,40.6,1,27
1786566357.120,36.9,1,27
1786566358.139,34.0,1,27
1786566359.160,31.4,1,27
1786566360.183,28.7,1,27
1786566361.206,27.1,1,27
1786566362.230,29.4,1,27
1786566363.254,32.7,1,27
1786566364.277,34.0,1,27
1786566365.299,35.9,1,27
1786566366.318,38.4,1,27
1786566367.343,39.9,1,27
1786566368.369,41.7,1,27
1786566369.390,43.3,1,27
1786566370.412,45.0,1,27
1786566371.434,47.1,1,27
1786566372.454,48.4,1,27
1786566373.476,49.9,1,27
1786566374.496,51.1,1,27
1786566375.518,52.9,1,27
1786566376.538,54.1,1,27
1786566377.557,55.4,1,27
1786566378.579,56.5,1,27
1786566379.603,57.7,1,27
1786566380.624,59.2,1,27
1786566381.643,60.2,1,27
1786566382.666,61.2,1,27
1786566383.693,62.2,1,27
1786566384.715,63.5,1,27
1786566385.737,64.4,1,27
1786566386.760,65.3,1,27
1786566387.783,66.2,1,27
1786566388.804,67.1,1,27
1786566389.825,68.2,1,27
1786566390.842,69.0,1,27
1786566391.865,69.7,1,27
1786566392.888,70.5,1,27
1786566393.910,69.4,1,27
1786566394.933,65.9,1,27
1786566395.958,61.1,1,27
1786566396.979,57.9,1,27
1786566397.999,54.4,1,27
1786566399.021,49.7,1,27
1786566400.039,46.8,1,27
1786566401.064,43.5,1,27
1786566402.087,40.5,1,27
1786566403.111,37.4,1,27
1786566404.136,33.8,1,27
1786566405.153,31.2,1,27
1786566406.172,28.7,1,27
1786566407.196,26.0,1,27
1786566408.221,28.7,1,27
1786566409.246,32.5,1,27
1786566410.271,33.7,1,27
1786566411.297,35.6,1,27
1786566412.318,37.4,1,27
1786566413.344,39.8,1,27
1786566414.368,41.3,1,27
1786566415.388,43.1,1,27
1786566416.406,44.6,1,27
1786566417.429,46.7,1,27
1786566418.449,48.0,1,27
1786566419.471,49.5,1,27
